Comments,Satisfied,Unsatisfied,Average,hygenic,Unhygenic,Irrelevent ,Aggressive
"আমি নিয়েছিলাম খিচুড়ি+ডিমভাজি কম্বো খিচুড়ি টা একদম বাসার মত ছিলো। টেস্ট খেয়ে যে পাগল হয়ে যাবেন 
এমন না। তবে খেয়ে খারাপ বলার মত কোনো কারণ খুঁজে পাইনি। ওই যে বললাম বাড়ির খাবার এর মত টেস্ট।
 তবে পরিমাণ টা নিয়ে আমার একটু অভিযোগ আছে। পরিমান টা র একটু বাড়িয়ে দিলে খুবই ভালো হয়। 
ডিমভাজি তে লবণ এর পরিমাণ টা কম ছিলো কিন্তু এত সুন্দর গন্ধ বের হয়েছিলো । 
আমার বাসায় ডিম ভাজলেও এত সুন্দর গন্ধ বের হয় না। মোট কথা খাবার টা একদম টাটকা ছিলো।
 আর আমি খেয়ে satisfied",1,0,0,0,0,0,0
খাবার কোয়ালিটি এবং মান দুইটাই একদম বাজে।,0,1,0,0,0,0,0
খাবার গুলো সবই বাশি,0,0,0,0,1,0,0
"খুব সুন্দর খেতে বার্গার এতোটাই সুন্দর যে বার্গার খেলাম না বনরুটি খেলাম নিজেই বুঝলামনা এতো দিন সবার কাছে 
শুনেছি এদের খাবারের মান খারাপ এতোটা খাবার টেস্ট না করলে বুঝতামইনা বার্গারটা কতোদিনের আগের সেটাও",0,1,0,0,0,0,0
"রাইস যথেষ্ট ছিলো। কিন্তু টেস্ট ভালো না। আর মাংসের সাইজ আগের থেকে অনেক ছোট করা হয়েছে।
তারপরও প্রাইস হিসাবে ওভারঅল চলে আরকি।",0,0,1,0,0,0,0
অনেক জঘন্য চিকেন বার্গার!,0,1,0,0,0,0,0
ফালতু টাইপ পিজা। চিকেন ললি টা মোটামুটি চলে।,0,0,1,0,0,0,0
খাবারের মান আগের চেয়ে অনেক ভালো হয়েছে।,1,0,0,0,0,0,0
"খুবই বাজে,মসলা দিয়ে পুরা ঝাজালো করে রাখছে,চালটা ও একদম খারাপ,আমার টাকাটা ই পুরো লস হলো",0,0,0,0,0,0,1
"তেলের মধ্যে একটা ঝামেলা আছে!!! যতবারই খাইলাম পেটের মধ্যে সমস্যা দেখা দিছে
 শুধু আমারই না,,,, অনেকেরই same problem হইছে।",0,1,0,0,0,0,0
জালি কাবাব টা সত্যিই অনেক ভালো...প্রশংসনীয়,1,0,0,0,0,0,0
কাকড়া ফ্রাই খুবই বাজে। কাকড়া ভিতরে কাচা এবং অনেক বাজে স্বাদ,0,1,0,0,0,0,0
বাঁশি খাবাদ দিছে,0,0,0,0,1,0,0
"সম্পুর্ন ঠান্ডা ছিলো, সস দেয়নাই",0,1,0,0,0,0,0
"রোস্ট পচা ছি‌লো, জা‌লিকাবাব ২য় বার ভাজা",0,1,0,0,0,0,0
খাবার টা দেওয়ার আগে গরম করে দিয়েন,0,1,0,0,0,0,0
খাবারের মান তেমন ভালো না!,0,0,1,0,0,0,0
খাবারে প্রচুর তৈল।,0,1,0,0,0,0,0
"খাবারের মান খুবই বাজে।টাকা অনুযায়ী খাবার যথেষ্ট ছিলো না।গরম করে দেয়নি,সম্ভবত সকালের বানানো ছিলো।",0,1,0,0,0,0,0
লবন বেশি হয়েছে,0,1,0,0,0,0,0
জঘন্য খিচুড়ি ছিলো শুধু তেল আর তেল ফেলে দিতে হইছে।আর প্যাকিং ও ভালো ছিলো না।,0,1,0,0,0,0,0
বিরিয়ানি ফ্রেশ ছিলো না,0,0,0,0,1,0,0
লেবুর মানটা বাজে কোয়ালিটির।,0,1,0,0,0,0,0
খাবারের মান খুবই ভালো।প্যাকেটিং সিস্টেমটাও খুব ভালো।,0,0,0,1,0,0,0
খিচুড়ির মান আরো ভালো করা লাগবে এবং পরিমান এ বেশি দিতে হবে,0,0,1,0,0,0,0
গোশত নষ্ট ছিল। পচা বাসী খাবার।,0,1,0,0,0,0,0
জঘন্য ছিলো বোরহানিটা,0,1,0,0,0,0,0
"অস্থির খাবার,না খাইলে মিস",1,0,0,0,0,0,0
অনেক কোয়ালিটি ফুল খাবার,1,0,0,0,0,0,0
চিকেন ফ্রাই খুব ভালো লাগছে,1,0,0,0,0,0,0
লাইফের সবচেয়ে বাজে চমুচা খাওয়ার অভিজ্ঞতা লাভ করলাম।,0,0,0,0,0,1,0
"নস্ট,পঁচা,বাসি বার্গার।",0,1,0,0,0,0,0
"নিম্ন মানের খাবার, দাম ও বেশি",0,1,0,0,0,0,0
খুব বাজে পিৎজা খাওয়ার অভিজ্ঞতা হলে,0,0,0,0,0,1,0
গ্রিল পুঁড়ে ফেলেছে। খাওয়ার অযোগ্য ছিল। খারাপ অভিজ্ঞতা হয়েছে।,0,1,0,0,0,0,0
লাউ তরকারি তে মস্ত বড় একটা তেলাপোকা ছিল। দেখে বাকী আইটেম গুলো খাওয়ার রুচি চলে গেছে।,0,1,0,0,0,0,0
ভাতের মান খারাপ ছিল,0,1,0,0,0,0,0
তরকারী ভাল কিন্তুু ভাত খুবই খারাপ পচা গন্ধ আসছে যা খাবার উপযোগী নয়,0,1,0,0,0,0,0
খাবার ঠান্ডা আর ময়লা পোকা পাওয়া গেছে,0,0,0,0,1,0,0
খাবারে পোড়া অংশ ছিলো। অভিজ্ঞতা এবার দুঃখজনক,0,1,0,0,0,0,0
"এতোটা বাজে যে হবে আশা করিনি। মনে হয় রান্না না করে শুধু মেরিনেট করে গরম করে ডেলিভারি দিল।
সম্পূর্ণ কাঁচা আর খুব জঘন্য হইছে। শখ মিটে গেছে আমার আর ইচ্ছে হবেনা।",0,0,0,0,0,0,1
"খাবার এ গন্ধ ছিল,গরম ছিল, কিন্তু মজা ছিল না এত",0,1,0,0,0,0,0
"এত বাজে খাবার,দোসার মান সম্মান নস্ট করে দিসে।",0,0,0,0,0,0,1
"এগুলার কি লুচি ভাই?টেনে ছিড়ার উপায় নাই চাপও একটা পুড়ে ফেলছেন।
তাও চাপ মোটামুটি চলে। লুচি তো খাওয়ার অযোগ্য",0,0,0,0,0,0,1
চাপ যথেষ্ট ভালো ছিল। তবে লুচি বেশি ভাজা হয়ে গেছে।,0,0,1,0,0,0,0
খাবারের মান খুবই নিম্নমানের ছিলো.... যা বলার মত না,0,0,0,0,0,0,0
"খুবই বাজে খাবার। চিকেন সামুচা আর ডাল পুরি অর্ডার দিছিলাম। চিকেন সামুচা এর মধ্যে সবজি দেয়া আর ডাল
পুরির মধ্যে মরিচ দিয়ে ভরায় রাখছে খাওয়া যায় না। একটাতেও লবণ হয় নাই। পুরাই টাকা নষ্ট কিছুই খেতে পারি নাই।",0,1,0,0,0,0,0
চুল ছিল বিরিয়ানিতে। তেলের পরিমাণ আরো কমানো দরকার,0,0,0,0,1,0,0
"মসলার পরিমান ছিলো ই না। এটাকে কোনো ভাবেই কাচ্চি বলা যায়না
আগে কাচ্চি খেয়ে আসেন,তারপর সেল দিয়েন",0,0,0,0,0,0,1
ভালো হয়েছে তবে আগে আরো ভালো মানের খাবার হতো।আশাকরি নজরদারি করবেন।,0,0,1,0,0,0,0
"আসসালামু আলাইকুম, কিছু মনে করবেন না সত্যিই আমি যেমনটা ভেবেছিলাম তেমনটা পাইনি, বেশি একটা স্বাদ 
হয়নি, পরিমাণ কম ছিল, আশা করি সামনেথেকে আরো ভালো স্বাদের তৈরি করবেন, ধন্যবাদ",0,0,1,0,0,0,0
চাল গুলো একদম লোকাল গন্দওয়ালা ছিল। মনে হচ্ছে যেন অনেক দিনের পুরনো হয়ে গেছে,0,0,1,0,0,0,0
পরিমাণ কম ছিল।খাসীর বিরিয়ানির খাসীর মাংস সিদ্ধ কম হইছে।,0,1,0,0,0,0,0
"এত ফালতু খাবার আর খাই নি।কেউ অর্ডার করবেন না।আমার ২৫০ টাকা লস।হায়াদ্রাবাদী বিরিয়ানি দিয়েছিলাম।
খেতেই পারি নি।ফেলে দিয়েছি।",0,0,0,0,0,0,1
"হায়দ্রাবাদি বিরিয়ানি আর থাই স্যুপ অর্ডার করেছিলাম বিরিয়ানির টেস্ট মোটেও ভালো না তবে সুপ টা খুব ভাল ছিল
পরিমাণেও যথেষ্ট",0,0,1,0,0,0,0
বার বার খাইতেছি আরাম পাচ্ছি,1,0,0,0,0,0,0
"একদম বাজে ছিলো, ফালতু। পচা খাবার ছিলো।",0,1,0,0,0,0,0
মানে ভালো দামে কম টেষ্টি খাবার,1,0,0,0,0,0,0
"পরোটা গুলো পালতু,, মোটা/শক্ত.খাওয়ার মতো না",0,1,0,0,0,0,0
প্রডাক্ট ভালো... কিন্তু পেকেজিং ভালো না... পলিথিন এ করে দেয়... আর ঠান্ডা প্রডাক্ট দেয়,0,0,1,0,0,0,0
রুটি পোড়া ছিল ৩ টা,0,1,0,0,0,0,0
মানসম্মত খাবার,0,0,0,1,0,0,0
খাবার টা খুব বাজে লাগছে।,0,1,0,0,0,0,0
"ভাত একদম নরম। আর এত খারাপ মানের পলিথিনে দিয়েছে, খাওয়ার রুচিই চলে গেছে।",0,1,0,0,0,0,0
পরোটা ভালো ছিল।,1,0,0,0,0,0,0
"দাম অনুযায়ী খাবারের পরিমাণ আর মান জঘন্য ছিলো বিরিয়ানি আরর্ডার করেছিলাম মনে হচ্ছিলো মানুষের এটো
করা খাবার তাও ফ্রিজে রেখে গরম করে দিসে, প্রায় ৭দিন অসুস্থ ছিলাম ওই খাবার খেয়ে।",0,0,0,0,0,0,1
Tehari টা খাওয়ার যোগ্য! মোরগ পোলাও টা ফালতু,0,0,1,0,0,0,0
খিচুড়ির টেস্টটা এভারেজ। পোলাওয়ের চাউল দিয়ে খিচুড়ি টা বানালে হয়তো বেশি ভালো লাগতো।,0,0,1,0,0,0,0
"বাসি আলু ভর্তা দিয়েছে, খেতে পারি নাই।",0,1,0,0,0,0,0
"মাংসের পরিমান অল্প ছিলো একদম,না থাকার মতোই...দাম অনুযায়ী বাজে খাবার",0,1,0,0,0,0,0
মোরগ পোলাও এর টেস্ট ভালো ছিল। পরিমানও ঠিকঠাক ছিল।,1,0,0,0,0,0,0
"ফ্রাইড রাইস, চিকেন ফ্রাই এবং অনিওন রিং এই তিনটা জিনিস ভালো ছিলো কিন্তু সবজির অবস্থা খুবই খারাপ ছিলো
একটুও খাওয়া যায়নি।",0,0,1,0,0,0,0
"খাবার ভালো ছিলো না বলা হয়েছিলো ফ্রাইড চিকেন ২ পিস কিন্তু আমি পেয়েছি ১পিস। চিকেন মাসালাটাও ভালো
ছিলো না।",0,1,0,0,0,0,0
২ দিন আগেকার বাসি রাইস গরম করে দিসে,0,0,0,0,1,0,0
"আলু পরোটা ভালো ছিল না, খুবই তৈলাক্ত ছিল,ডেলিভারি দিতে অনেক সময় নিয়েছে।",0,1,0,0,0,0,0
রোষ্টের গোস্তটা পুরাতন ছিলো শক্ত ছিলো আর গন্ধ আসছে।পোলাও ভাতের মত লাগছে কোন ঘ্রান নেই টেষ্টও নেই।,0,0,0,0,1,0,0
নুডুসটা খুব মজা ছিল,1,0,0,0,0,0,0
"মোরগ পোলাও টা খুব একটা ভালো ছিল নাহ , আর এর আগের বার চিকেন নুডুলস অর্ডার দিছিলাম সেটা পুরে গেছিলো",0,1,0,0,0,0,0
